Municipio;Data;ano;mês;INPC;Preco_medio_CB;IPCA_Geral;IGP_10_geral;Inflacao_renda_muito_baixa;Inflacao_renda_baixa;Inflacao_renda_media_baixa;Inflacao_renda_media;Inflacao_renda_media_alta;Inflacao_renda_alta;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
São Paulo;20060701;2006;7;2671,84;170,5;2579,28;346;0,07;0,1;0,11;0,14;0,16;0,19;0;0;0;0;0;0;1;0;0;0;0;0
São Paulo;20060801;2006;8;2672,37;169,62;2580,57;346,91;-0,01;0;0,01;0,01;0;-0,22;0;0;0;0;0;0;0;1;0;0;0;0
São Paulo;20060901;2006;9;2677,45;172,1;2585,99;348;0,24;0,24;0,22;0,23;0,2;0,05;0;0;0;0;0;0;0;0;1;0;0;0
São Paulo;20061001;2006;10;2687,89;179,74;2594,52;349;0,59;0,51;0,46;0,38;0,29;0,24;0;0;0;0;0;0;0;0;0;1;0;0
São Paulo;20061101;2006;11;2699,18;185,29;2602,56;352;0,73;0,58;0,51;0,37;0,27;0,24;0;0;0;0;0;0;0;0;0;0;1;0
São Paulo;20061201;2006;12;2739,13;182,05;2615,05;354;0,49;0,43;0,44;0,34;0,31;0,89;0;0;0;0;0;0;0;0;0;0;0;1
São Paulo;20070101;2007;1;2750,09;184,72;2626,56;356;0,51;0,49;0,48;0,45;0,42;0,67;1;0;0;0;0;0;0;0;0;0;0;0
São Paulo;20070201;2007;2;2757,79;185,96;2638,12;357;0,27;0,29;0,29;0,34;0,45;0,41;0;1;0;0;0;0;0;0;0;0;0;0
São Paulo;20070301;2007;3;2765,79;192,86;2647,88;358;0,36;0,37;0,35;0,35;0,33;0,44;0;0;1;0;0;0;0;0;0;0;0;0
São Paulo;20070401;2007;4;2772,98;188,8;2654,5;359;0,13;0,18;0,2;0,24;0,28;0,3;0;0;0;1;0;0;0;0;0;0;0;0
São Paulo;20070501;2007;5;2780,19;184,93;2661,93;359;0,23;0,26;0,27;0,28;0,29;0,23;0;0;0;0;1;0;0;0;0;0;0;0
São Paulo;20070601;2007;6;2794,37;187,45;2669,38;359;0,63;0,45;0,44;0,31;0,22;0,2;0;0;0;0;0;1;0;0;0;0;0;0
São Paulo;20070701;2007;7;2789,34;186,98;2675,79;360;0,42;0,29;0,32;0,26;0,19;0,44;0;0;0;0;0;0;1;0;0;0;0;0
São Paulo;20070801;2007;8;2803,57;193,04;2688,37;362;0,66;0,54;0,54;0,46;0,4;1,09;0;0;0;0;0;0;0;1;0;0;0;0
São Paulo;20070901;2007;9;2811,14;194,34;2693,21;368;0,43;0,29;0,26;0,18;0,13;-0,45;0;0;0;0;0;0;0;0;1;0;0;0
São Paulo;20071001;2007;10;2815,64;201,25;2701,29;372;0,61;0,49;0,45;0,38;0,33;0,28;0;0;0;0;0;0;0;0;0;1;0;0
São Paulo;20071101;2007;11;2826,34;205,48;2711,55;374,33;0,68;0,55;0,52;0,43;0,37;0,26;0;0;0;0;0;0;0;0;0;0;1;0
São Paulo;20071201;2007;12;2846,97;214,63;2731,62;380;1,4;1,11;1,05;0,83;0,68;0,65;0;0;0;0;0;0;0;0;0;0;0;1
São Paulo;20080101;2008;1;2865,19;229,09;2746,37;384;0,96;0,75;0,69;0,54;0,45;0,58;1;0;0;0;0;0;0;0;0;0;0;0
São Paulo;20080201;2008;2;2870,35;226,2;2759,83;387;0,42;0,34;0,36;0,36;0,47;0,77;0;1;0;0;0;0;0;0;0;0;0;0
São Paulo;20080301;2008;3;2883,27;223,94;2773,08;390;0,55;0,54;0,52;0,51;0,48;0,48;0;0;1;0;0;0;0;0;0;0;0;0
São Paulo;20080401;2008;4;2898,84;227,81;2788,33;391;0,61;0,59;0,59;0,55;0,48;0,39;0;0;0;1;0;0;0;0;0;0;0;0
São Paulo;20080501;2008;5;2931,6;233,92;2810,36;397;1,19;0,98;0,93;0,76;0,66;0,68;0;0;0;0;1;0;0;0;0;0;0;0
São Paulo;20080601;2008;6;2963,55;245,24;2831,16;405;1,29;1,02;0,96;0,76;0,61;0,77;0;0;0;0;0;1;0;0;0;0;0;0
São Paulo;20080701;2008;7;2983,7;252,13;2846,16;413;0,62;0,58;0,56;0,51;0,46;0,73;0;0;0;0;0;0;1;0;0;0;0;0
São Paulo;20080801;2008;8;2995,93;241,15;2854,13;415;0,17;0,24;0,25;0,31;0,32;1,07;0;0;0;0;0;0;0;1;0;0;0;0
São Paulo;20080901;2008;9;3005,52;234,68;2861,55;413;0,1;0,19;0,2;0,26;0,3;0,17;0;0;0;0;0;0;0;0;1;0;0;0
São Paulo;20081001;2008;10;3023,55;238,15;2874,43;416;0,56;0,5;0,49;0,42;0,36;0,46;0;0;0;0;0;0;0;0;0;1;0;0
São Paulo;20081101;2008;11;3025,97;238,66;2884,78;419,23;0,36;0,38;0,38;0,37;0,33;0,5;0;0;0;0;0;0;0;0;0;0;1;0
São Paulo;20081201;2008;12;3028,39;239,49;2892,86;419;0,17;0,24;0,24;0,22;0,2;0,47;0;0;0;0;0;0;0;0;0;0;0;1
São Paulo;20090101;2009;1;3036,87;241,53;2906,74;416;0,49;0,45;0,44;0,32;0,27;0,86;1;0;0;0;0;0;0;0;0;0;0;0
São Paulo;20090201;2009;2;3048,41;237,34;2922,73;418;0,21;0,27;0,32;0,43;0,63;0,94;0;1;0;0;0;0;0;0;0;0;0;0
São Paulo;20090301;2009;3;3061,21;221,9;2928,57;417;0,25;0,29;0,27;0,25;0,21;0,37;0;0;1;0;0;0;0;0;0;0;0;0
São Paulo;20090401;2009;4;3080,5;225,63;2942,63;413,78;0,6;0,63;0,55;0,46;0,4;0,53;0;0;0;1;0;0;0;0;0;0;0;0
São Paulo;20090501;2009;5;3091,28;227,36;2956,46;414,47;0,65;0,63;0,6;0,52;0,44;0,32;0;0;0;0;1;0;0;0;0;0;0;0
São Paulo;20090601;2009;6;3105,81;228,1;2967,1;414,33;0,48;0,45;0,45;0,42;0,36;0,14;0;0;0;0;0;1;0;0;0;0;0;0
São Paulo;20090701;2009;7;3130,35;227,17;2974,22;413;0,33;0,33;0,32;0,3;0,28;0,13;0;0;0;0;0;0;1;0;0;0;0;0
São Paulo;20090801;2009;8;3135,36;225,69;2978,68;410;0,05;0,09;0,09;0,13;0,18;0,33;0;0;0;0;0;0;0;1;0;0;0;0
São Paulo;20090901;2009;9;3142,88;229,89;2985,83;412;0,19;0,23;0,21;0,24;0,26;0,39;0;0;0;0;0;0;0;0;1;0;0;0
São Paulo;20091001;2009;10;3150,74;230,03;2994,19;412;0,28;0,33;0,33;0,38;0,4;1,04;0;0;0;0;0;0;0;0;0;1;0;0
São Paulo;20091101;2009;11;3160,51;234,99;3006,47;413;0,37;0,39;0,39;0,41;0,41;0,41;0;0;0;0;0;0;0;0;0;0;1;0
São Paulo;20091201;2009;12;3169,99;228,19;3017,59;412;0,22;0,28;0,29;0,3;0,3;0,45;0;0;0;0;0;0;0;0;0;0;0;1
São Paulo;20100101;2010;1;3219,12;225,02;3040,22;413;0,71;0,69;0,69;0,64;0,63;1,02;1;0;0;0;0;0;0;0;0;0;0;0
São Paulo;20100201;2010;2;3240,69;229,64;3063,93;417,55;0,58;0,57;0,6;0,65;0,81;0,93;0;1;0;0;0;0;0;0;0;0;0;0
São Paulo;20100301;2010;3;3255,27;253,74;3079,86;422;0,86;0,68;0,64;0,49;0,39;0,51;0;0;1;0;0;0;0;0;0;0;0;0
São Paulo;20100401;2010;4;3275,13;261,39;3097,42;425;1,02;0,79;0,76;0,59;0,48;0,29;0;0;0;1;0;0;0;0;0;0;0;0
